PC-1,      PC-2,           PC-3,        PC-4, class
0.0,1481.4209495564785,285.4995624430478,0.0,1
0.0,1491.6442536260206,143.2159605849306,0.0,1
0.0,1509.9313966977081,267.08696282058946,0.0,1
0.0,1468.0217586458616,141.06603786294062,0.0,1
0.0,1633.3029400884768,440.6427034220824,83.91694384847695,1
0.0,1568.7896871081336,235.1196979666274,0.0,1
0.0,1559.0920442641516,189.1762981234766,0.0,1
0.0,1523.6346668590802,298.86243269360875,0.0,1
0.0,1536.3349780045335,134.9857889643029,0.0,1
0.0,1627.0419076445687,330.8334708205229,0.0,1
0.0,1658.5589248931844,357.4935501354355,0.0,1
0.0,1616.8402584516864,257.35335930658454,0.0,1
0.0,1645.528930286919,298.7781635076896,0.0,1
0.0,1556.1148766720246,181.39462612339725,0.0,1
0.0,1569.0643152160244,232.50257600540152,0.0,1
0.0,1586.0074843529464,295.80279220842283,0.0,1
0.0,1734.9320875359383,382.2295569643216,0.0,1
0.0,1673.0062949688238,306.8788039238804,0.0,1
0.0,1631.5032536270853,330.38576653682065,0.0,1
0.0,1650.6942198654333,277.82895580688734,0.0,1
0.0,1517.430414247542,144.35416718368882,0.0,1
0.0,1659.5475469620185,312.97837510093,0.0,1
0.0,1638.231169110901,269.5664226190974,0.0,1
0.0,1585.5732157121588,173.4039934063459,0.0,1
0.0,1578.1536406612495,226.1553659656311,0.0,1
0.0,1600.0572369579031,250.99704102584084,0.0,1
0.0,1699.9493763814355,293.2593199932278,0.0,1
0.0,1630.2164506495633,336.0046436862629,0.0,1
0.0,1611.1882241606525,189.2492025147988,0.0,1
0.0,1722.3684252595624,273.12403757924517,0.0,1
0.0,1602.5483659094375,167.95984542984425,0.0,1
0.0,1648.8575777650215,215.67109914970425,0.0,1
0.0,1755.5386840488245,342.197900595458,0.0,1
0.0,1789.2596776966525,379.19543450301666,0.0,1
0.0,1714.2940104905151,362.48801049382837,0.0,1
0.0,1647.285590591075,158.11821978355084,0.0,1
0.0,1640.8360799714246,156.80004026687806,0.0,1
0.0,1714.7235841090844,282.7502835800003,0.0,1
0.0,1714.6312021542578,168.33226495050937,0.0,1
0.0,1712.0589560618603,356.9136730258295,0.0,1
0.0,1592.2787030301754,71.24320668694884,0.0,1
0.0,1676.529492773394,107.98709631877928,0.0,1
0.0,1694.8718568011254,357.3579579919313,0.0,1
0.0,1653.6876410276889,224.0923105757932,0.0,1
0.0,1785.274335733606,263.6731717146523,0.0,1
0.0,1832.5573472946467,351.05656508978814,0.0,1
0.0,1673.0356511678765,102.61063300569981,0.0,1
0.0,1825.567485050024,335.9863284739988,0.0,1
0.0,1829.2170767950345,230.7992519508329,0.0,1
0.0,1852.3370848453715,315.41054693219286,0.0,1
0.0,1912.5404484061253,345.9960935110421,0.0,1
0.0,1875.7292051999027,176.3407160711442,0.0,1
0.0,1981.252965908196,439.5716031676985,0.0,1
0.0,2054.808706501104,278.1100727500127,0.0,1
0.0,1953.3641543748085,243.94273078711262,0.0,1
